Hotel Address,Hotel Name,Review
"L'Orée Du Val De Marne, Rue du Noyer-Saint-Germain, 94440 Santeny, France",ibis budget Santeny,"Loose window, either way you are freezing or sweating during sleeping, cold water for the first 5 minutes of water running, hotel service walking into room without your permission"
"L'Orée Du Val De Marne, Rue du Noyer-Saint-Germain, 94440 Santeny, France",ibis budget Santeny,"Nice clean, simple hotel. Staff very friendly and efficient. Recommended."
"L'Orée Du Val De Marne, Rue du Noyer-Saint-Germain, 94440 Santeny, France",ibis budget Santeny,Top
"L'Orée Du Val De Marne, Rue du Noyer-Saint-Germain, 94440 Santeny, France",ibis budget Santeny,Too expensive for the quality and services offered.
"L'Orée Du Val De Marne, Rue du Noyer-Saint-Germain, 94440 Santeny, France",ibis budget Santeny,"Good, nice meal and service is okay"
"Zac La Garenne, 14 All. du Plateau, 93250 Villemomble, France",ibis budget Villemomble,"Super far from Paris (tourist area).
Rooms are tiny like smaller than the IKEA showroom in Red Hook, Brooklyn, NY. Do no recommend. Felt more like a prison setting than a hotel. Ended up getting something closer to Paris and bigger. It was truly a waste of money."
"Zac La Garenne, 14 All. du Plateau, 93250 Villemomble, France",ibis budget Villemomble,"The Place for this thing is the most terible one and the false advertising for being few minutes away from center which is completely false. The staff isn't very good either (if you get the man in the evening I think hes tired) but otherd are pretty good but they are asking for some random city tax thing which I have no Idea what it is or what it means.
Rooms aren't good either but its atleast better than the staff and the location of this thing.
Breakfast Is Good I like it
Final Rating: 2,5 stars ★★☆☆☆"
"Zac La Garenne, 14 All. du Plateau, 93250 Villemomble, France",ibis budget Villemomble,"This place is good to stay for 1 or 2 days max. We needed a place to sleep, and it was nighttime already. We called beforehand if there was a room available for the night. The reception welcomed us very friendly when when we arrived."
"Zac La Garenne, 14 All. du Plateau, 93250 Villemomble, France",ibis budget Villemomble,"The receptionists Vania and zakria  are so friendly and helpful, willing to help for any inquiries. I asked them for iron and adapter and I got them in a second. They will treated respect and kindness like 7 stars hotel. The two best receptionists ever."
"Zac La Garenne, 14 All. du Plateau, 93250 Villemomble, France",ibis budget Villemomble,Parking space is too small i.e. the space allotted for a single vehicle is not of a comfortable width. Everything else is okay/good from the pov of a budget place.
"10 Av. Ettore Bugatti, 91310 Linas, France",Comfort Hotel Linas - Montlhery,I was not expecting much from this hotel however the food was delicious and the staff were extremely well mannered and very pleasant. 👍
"10 Av. Ettore Bugatti, 91310 Linas, France",Comfort Hotel Linas - Montlhery,"Comfy bed and pillows, always very clean (already stayed 4-5 times), super fast internet and free parking. Modest rooms but great value for the money.

My only (minor) complaints were that in the room that we stayed in, the shower door could easily leak to the floor and that it was a bit hard to get the space heater to work."
"10 Av. Ettore Bugatti, 91310 Linas, France",Comfort Hotel Linas - Montlhery,"Too far from Paris. But staff were great, and saved us a lot of trouble by warning us at the airport we were flying out of would require getting there about 5 hours early not just 3 (strikes at the airport or something; the airport was a nightmare!)"
"10 Av. Ettore Bugatti, 91310 Linas, France",Comfort Hotel Linas - Montlhery,Very helpful over chat and answered everything I wanted to know before booking. Thought I was going to be late getting here but that wasn't a problem at all. Room is just what I needed after a very long drive. Room is nothing special but its a bed and clean and looking forward to breakfast. Payed more for a room and had a lot worse. Receptionist is pleasant too.
"10 Av. Ettore Bugatti, 91310 Linas, France",Comfort Hotel Linas - Montlhery,"The hotel was welcoming and the public areas were well presented. Our room was clean and comfortable and provided with kettle and tea/coffee. Throughout our 10 day stay all staff were courteous and efficient. A special mention and praise must be made of the management and reception staff who were very approachable, friendly, attentive and helpfully  in all aspects and made our stay as pleasant as possible, which was much appreciated - a big Thank You."
"6 Rue André Citroën, 94510 La Queue-en-Brie, France",B&B HOTEL La Queue-En-Brie,"Super budget hotel to stay for a few nights, convenient in and out, and has a keyless bedroom with digital numbers to get in.

If arriving late, you can use your booking number to get in; very simple.

Excellent and safe car park. Nice restaurant across the parking lot, doesn't belong to the hotel.

Breakfast in the morning is typically French, croissants, juice and coffee.

A very safe place to stay, 30 kilometres from Paris.
I was in my car, so I didn't know the transport connection to and from Paris.

Excellent WI-FI connection and super helpful staff with the English language barrier.

The bedroom is immaculate and comfortable.

My own rating of the Hotel is 5/5"
"6 Rue André Citroën, 94510 La Queue-en-Brie, France",B&B HOTEL La Queue-En-Brie,"I had the worst experience, dirty smelly room, a leaking pipe under the sink. The staff tried to fix the pipe  after i complained but 5 min later it was the same again and by then the reception was closed and we were stuck there. I complained again the morning after. We had booked 2 nights but refused to stay more than one int that place, i demanded a compensation for the night in unacceptable conditions and said i would even pay for the night i decided to skip, but they denied any compensation and said they could only give us another room. All of this in conversation with staff that understands almost no english and will answer only in french which makes for an extremely frustrating pointless conversation as I don’t speak french. Hotel staff needs to be able to communicate in english, period. I have contacted the hotel through the email provided by the receptionist and so far no answer. Absolutely disgusting."
"6 Rue André Citroën, 94510 La Queue-en-Brie, France",B&B HOTEL La Queue-En-Brie,"Hi, this hotel does not have fridge or cartel or even drawers just good bed and decent bathroom with free car parking compared to other prices it’s acceptable."
"6 Rue André Citroën, 94510 La Queue-en-Brie, France",B&B HOTEL La Queue-En-Brie,"Simple, functional, breakfast was good, hotel could use a refresher, nice restaurant next door."
"6 Rue André Citroën, 94510 La Queue-en-Brie, France",B&B HOTEL La Queue-En-Brie,Great budget room for the price. Everything is clean. Comfortable enough beds. Would stay again if necessary for traveling through.
"Centre De Vie Immoparc, N10, 78190 Trappes, France",ibis budget Versailles Trappes,"As expected for a Ibis. I like Accor hotels and have preference for them. Fair price and good location. I had a problem during my stay but it was resolved and this shows customer care. Problems can happen on any hotel, good to see Ibis working to resolve it. Congratulations."
"Centre De Vie Immoparc, N10, 78190 Trappes, France",ibis budget Versailles Trappes,"By far the worst IBIS budget hotel I've been to, and probably one of the worst overall.
Very passive personnel and none of them speaking a word in English."
"Centre De Vie Immoparc, N10, 78190 Trappes, France",ibis budget Versailles Trappes,"Very rude member of staff with glasses in the morning, wasnt told breakfast times during check in when we paid for it so we ended up missing it by 10 minutes. Tiny rooms rubbish shower noisey due to the main road. Single thin pillow to sleep on. Honestly the best thing the hotels got going for itself is a free car park and the road out of it. Wouldnt recommend"
"Centre De Vie Immoparc, N10, 78190 Trappes, France",ibis budget Versailles Trappes,"This is Ibis budget so no there's no jacuzzi, it's a basic room with a TV, the shower was great however, better than some of the expensive hotels I've stopped in. There's parking right outside and it's gated off in the evening, there's a restaurant just next door and for a small extra you can have breakfast from 6.30am onwards, if you need a stopover it's perfect really. The guy running it when we stopped was really helpful and informative a credit to the place."
"Centre De Vie Immoparc, N10, 78190 Trappes, France",ibis budget Versailles Trappes,Noisy guests in corridor on first floor. Regulars I guess. No wonder car park is empty. Previous reviews accurate. Shabby interior. Stayed in better F1's. Possibly the worst Ibis Budget I've stayed at.
"Rn, 16 La Redoute du Moulin, 95440 Écouen, France",Hôtel Kyriad Paris Nord - Ecouen,"Stayed for two nights whilst working in snd around Paris, the hotel is secure (if you are checking in late ask for the gate entry code before you arrive). Its a little old and dated but it was good value for money. The reception was very helpful, attentive and welcoming. I will certainly use again when I’m back in Paris
Thank you again 😄"
"Rn, 16 La Redoute du Moulin, 95440 Écouen, France",Hôtel Kyriad Paris Nord - Ecouen,"They felt dirty, wet and the neighbours could be heard really well. The atmosphere was uneasy during the stay. It did not feel safe what so ever, the doors were sqeecking, rattling and it felt uneasy at all times. A lot of spiders in the room and some ants. Was hoping for something better after reading the reviews, but it is pretty much the truth and not so good."
"Rn, 16 La Redoute du Moulin, 95440 Écouen, France",Hôtel Kyriad Paris Nord - Ecouen,"Very secure, like a US motel very basic. Food was really nice and the staff were very friendly."
"Rn, 16 La Redoute du Moulin, 95440 Écouen, France",Hôtel Kyriad Paris Nord - Ecouen,"Bad experience .I’ll explain:
Staff helpful.
Room smelling bad
Mold in the bathroom
Everything is old an yellow
Staff are trying there best to keep the place running
Doggy place over all
Not recomended"
"Rn, 16 La Redoute du Moulin, 95440 Écouen, France",Hôtel Kyriad Paris Nord - Ecouen,"Nice and clean but their prices online don't usually reflect the real deal.
Nice little hotel though."
"52 Av. du Chemin de Mesly, 94000 Créteil, France",Hotel Campanile Creteil,"We stayed two nights. The hotel is located in the 6th arrondissement of Paris and is 20 stops or 40 minutes from the Arc de Triomphe metro. The hotel is close to the motorway and metro line, but the soundproofing is excellent so sleeping was not a problem. There is a large shopping centre next to the hotel with everything you could possibly need. McDonald ir near.
The room is tiny, it's good that there is a kettle and a hairdryer but the shower is so cramped that you can't even put your hands in it. The bed was comfortable and my back didn't hurt in the mornings.
Breakfast was a croissant, several types of muffins, boiled ham or ham and baguette. Nothing else except jam and jam. In addition, people eat quickly and replenish food slowly, or you come in and there are no plates, forks or spoons, and then you have to ask for them to be brought in."
"52 Av. du Chemin de Mesly, 94000 Créteil, France",Hotel Campanile Creteil,"Small rooms but clean, 8 min to metro, cleaning lady ""forgot"" to clean our room, breakfast buffet wasn't filled when we came to dining room so we had to eat only crossaints with ham and cheese. Receptionist at the evening was kind."
"52 Av. du Chemin de Mesly, 94000 Créteil, France",Hotel Campanile Creteil,"Easily accessible,i spent just a night there but it was good thou.. had a Great conversation with the members of the personnel..
I do recommend"
"52 Av. du Chemin de Mesly, 94000 Créteil, France",Hotel Campanile Creteil,Adequate room with third unused bed. Room had air conditioning and TV. Bed was good and room was clean. Looked as if it had had a refurbishment with new carpet. Okay size  bathroom with shower. Parking available for free... breakfast available on site (we didn't use) or adjacent McDonald's. Internet was good. Easy to drive or get nearby public transport into Paris... the centre of Paris was about 30 minutes in the evening by car (45 minutes at lunchtime). Felt safe in the area. Staff on desk and cleaning staff were polite. Okay for a short two or three day stay ... particularly if you have a car. We would use again.
"52 Av. du Chemin de Mesly, 94000 Créteil, France",Hotel Campanile Creteil,"PATRON BE WARE!

This hotel scams! They are WICKED! They charged my credit card—not entirely sure how they got my card information—when booking it did not prompt for the card because the only option was to pay at the hotel. I canceled my booking through the SAME means I reserved it within AMPLE time. On the fourth/fifth day of the stay I WOULD have had with them—if not canceled, I saw that this hotel charged my card for the ENTIRE stay—to include the breakfast buffet… despite the fact that I did NOT EVER step foot near this place let alone stay on the premises even 1 night. And… And… after I disputed this fraudulent charge with my card company this hotel provided a phony invoice to my credit card company for a stay that was NOT had by me—room number and all! It’s astonishing how it’s possible for this hotel to RECEIVE a reservation but NOT receive/acknowledge a cancellation made through the same means. I called hotel management to dispute this personally and they very were curt in denying me a resolution. Do yourself a favor and just DO NOT deal with this hotel AT ALL or EVER. Their way of operating is purely WICKED and does NOT serve the customer.

Reader… if you need receipts as proof of this review, I’ll be glad to show them to you—just reach out. I’m trying to save many patrons from this wicked nightmare."
"10 Av. des Tuileries, 91350 Grigny, France",ibis budget Grigny Centre,"I only learned of this hotel through Accor Live Limitless which I do not think I will be utilizing again. So I will start by saying this hotel is cheap and that’s exactly what it is and nothing more as it is in a very poor city. It’s really hard to find any positives for this hotel. Before getting to this hotel, I tried contacting via both phone & email to see if I could extend my reservation for 3 (triple person room w/ 1 double bed, plus 1 bunk bed) and never got a response. The one time someone finally spoke with me on the phone, they told me the internet wasn’t working so they couldn’t find my reservation details. We arrived and the area of our hotel looked a bit sketchy but no worries I didn’t want to judge a book by it’s cover. The lady at the front desk checked-us in and told us sadly she couldn’t extend our stay. She gave us a room key and gave us a small fan for our room (btw no A/C in this hotel). The room key didn’t even work until we went back downstairs to ask for her to give us a new key. There were only a total of 3 outlets in the room and the fan they gave us was insufficient until I requested a 2nd fan. That fan however was already broken and didn’t work properly when plugged in. The bunk bed had a dirty blanket and sheets so we didn’t use it and ended up sharing the double bed all 3 of us. The chair for the room was a small stool with no back rest. The toilet was very difficult to flush and the door to the room very difficult to close. The 2nd day of our stay, there was no water available; I don’t know why the water was taken. When we complained, we were told it would return later that evening. The sink broke on the 3rd & last day of our stay, as in the sink pipe became detached from another one of the pipes underneath so water spilled everywhere. Luckily, I was able to attach it back. The only positive was it was walking distance from RER station Grigny ctr., and the wifi had good connection. Also the Romanian cleaning staff lady was kind enough and offered us more towels and toilet paper for our room. Honestly, I was glad to escape this hotel and managed to run off to another hotel which was much better suited for all of us and even closer to the city center. Also I should add, we all spoke french so communication was not an issue so I don’t know how the stay would have been for people who do not speak/understand french. I wouldn’t recommend this hotel to anybody back home (in US) planning their trip to France."
"10 Av. des Tuileries, 91350 Grigny, France",ibis budget Grigny Centre,"I booked breakfast for myself and my daughter online but I ended up paying extra money for breakfast, the rooms were hot and I was giving a broken fan"
"10 Av. des Tuileries, 91350 Grigny, France",ibis budget Grigny Centre,"The cockroaches were friendly enough, but having to listen to the creaky elevator and people arguing in the hallways at all hours was a bit much. The room was beyond basic and the mattress was really just a thick blanket over wood. There isn't even anything worth looking out the window at. At best, it's close to the train."
"10 Av. des Tuileries, 91350 Grigny, France",ibis budget Grigny Centre,Its better rooms and place near to reach for our relatives wedding
"10 Av. des Tuileries, 91350 Grigny, France",ibis budget Grigny Centre,"Very bad experience I ve booked from the 30 September to 02 October. I came on the 30 September I ve been told the hotel is full   and they did not accommodate us my husband and I. We were  forced to go to pay for another room to kyriad hotel. After that the hotel marked me as no show and the take monney in my account as no show fee. That is very very bad and dishonest. Coming from London expected to have a good rest my husband and I were wondering arround to find another place to sleep. I've called booking. Com and they told me that when they try to call the hotel, they send email they don't respond.
Please dear customer just Run away from this hotel. They truth is the book 2 times the same room they won money 2 times  for the same room , what is criminal I will rate them a big ZERO and will also report every thing to groupe Accor"
"Rue Jean Moulin, 95470 Saint-Witz, France",B&B HOTEL Saint-Witz,We came here at midnight and were able to quickly book a room at the console. The room itself was clean and above average in size. In the morning an entire breakfast was set up for us although it seemed we were the only ones eating at that time. Good hotel to spend the night before heading to Asterix park in the morning.
"Rue Jean Moulin, 95470 Saint-Witz, France",B&B HOTEL Saint-Witz,"We had to use the check-in machine as we arrived late (22:30h). By entering your booking number you get  a room code and can use it to access the room.
Equipment very appropriate for the class.
The room was clean and comfortable - perfect for our family of 4.
I can definitely recommend it.

Equipment very appropriate for the class.
Everything was neat and clean.  Especially the AC  is very good on hot days.
Check-out is possible until 12:00 p.m.  Excellent!"
"Rue Jean Moulin, 95470 Saint-Witz, France",B&B HOTEL Saint-Witz,"Room was clean and tidy with double bed and bunk beds, layout was a bit weird toilet and shower room were in the entrance hall and bedroom was upstairs. Breakfast was self serve continental. Check in can be done online and is easily done, you receive code for door lock also opens reception area  after hours. Easy to find ,free parking. We used as overnight stay on way to Disney land Paris"
"Rue Jean Moulin, 95470 Saint-Witz, France",B&B HOTEL Saint-Witz,"We were friendly greeted and the host was Able to switch to English as our French was ok but not that good.
In the reservation I asked for a babybed, at Arrival the hotelier said that there wasn't much room to put the bed. In the room we Saw that there was a lot of Space under the stairs which was great. The babybed we had gotten was defect, the holetier Saw this immediately and we got another.

In overall the room was good, there was an questionable Brown stain on the toilet door, we cleaned of ourself.

The breakfast was very good, however the room was a bit Small, we were just in time as several people had to wait to have a Table."
"Rue Jean Moulin, 95470 Saint-Witz, France",B&B HOTEL Saint-Witz,"We needed a hotel for 1 night, originally planned for after arrival of my wife after her holiday. That was postponed, now we just used the made reservation.
We didn't have high expectations. Still our stay was satisfying"
"12 All. du Plateau 8 À, 93250 Villemomble, France",hotelF1 Villemomble,"Stayed here on a Saturday in August. Sayed in shared room of 6. Easy to get to, easy sign in after 9pm, room very clean, comfy bed, no issues with noise, facilities as clean as they could be. Really cheap for six people. Would highly recommend and would definitely stay again if in Paris."
"12 All. du Plateau 8 À, 93250 Villemomble, France",hotelF1 Villemomble,"You have to set your expiration before you make the booking. This is a budget hotel, no air conditioning, sharing toilet and bathroom outside the room.

The room is very hot and you have to cover the bedsheets yourself."
"12 All. du Plateau 8 À, 93250 Villemomble, France",hotelF1 Villemomble,"Being one of the best prices in Paris, the rooms are very clean. These were the too two factors. The staff was kind. What more could we ask for at that price."
"12 All. du Plateau 8 À, 93250 Villemomble, France",hotelF1 Villemomble,It's OK on a budget but wouldn't stay there in spring or summer. Rooms have no A/C or fans that work and can become quite hot and uncomfortable
"12 All. du Plateau 8 À, 93250 Villemomble, France",hotelF1 Villemomble,"Cheap. €40 for a room near Paris on a Saturday night. Keep your expectations in check.

Pros - clean room, working heater, plenty of power sockets, good Wi-Fi.

Cons - Shared toilets & showers, no towels provided, noisy (bring ear plugs)."
"Zac Du Petit Marais, 3 Rue des Amériques, 94370 Sucy-en-Brie, France",ibis budget Sucy-en-Brie,"A generally bad hotel. There was no air conditioning in the room, and when we opened the window, we couldn't sleep due to mosquitoes. The walls were covered in squashed mosquitoes, hygiene-wise, it was already bad. I think you can find something better than this here."
"Zac Du Petit Marais, 3 Rue des Amériques, 94370 Sucy-en-Brie, France",ibis budget Sucy-en-Brie,"The worst hotel that I ever been. rooms smell of cigarettes, the plastic bathroom has a bad smell and is not clean.  the furniture is all old.  15 minutes from the RER station, but it takes 30-40 minutes to reach central Paris.  Bad quality!  What saves is the staff who are very helpful and do what they can…"
"Zac Du Petit Marais, 3 Rue des Amériques, 94370 Sucy-en-Brie, France",ibis budget Sucy-en-Brie,"Really run down hotel. Every room stinks. People even don't bother to respect the rules of ""NO SMOKING IN THE ROOMS"". No air conditioning. Toilet/shower is gross. Dirty floors, don't think they have ever been mopped. Mirror dirty. Literally only thing that's clean and smells and looks fresh is the linen."
"Zac Du Petit Marais, 3 Rue des Amériques, 94370 Sucy-en-Brie, France",ibis budget Sucy-en-Brie,"The room was pathetic and no ac... It was clogged in washroom and inspite of telling the staff no one came.
Unclean and not worthy."
"Zac Du Petit Marais, 3 Rue des Amériques, 94370 Sucy-en-Brie, France",ibis budget Sucy-en-Brie,Very basic budget hotel...no lift...toilets are old...place is not clean
"19, Rue Léon Geoffroy, Les Ardoines Z.I, 94400 Vitry-sur-Seine, France",ibis budget Vitry-sur-Seine A86 Bords de Seine,"This was by far the worst hotel I have been to. The air condition wasn't working! Even if it hasn't been that hot, with all the noise from the road outside it's impossible to sleep without closing the windows. Even then, you can still hear the construction noise, trains, coaches and road traffic. The bathtub and sink were both clotted. Breakfast was very basic. The receptionist could at least turn off his phone call while checking us in. Overall, please find another hotel as this one will ruin your vacation.

I honestly thought Ibis hotels maintained a certain level of service but that's certainly not true anymore.

Room service was great but that's not enough to make up for this atrocious hotel."
"19, Rue Léon Geoffroy, Les Ardoines Z.I, 94400 Vitry-sur-Seine, France",ibis budget Vitry-sur-Seine A86 Bords de Seine,"The price is reasonable. My room was clean and towels were renewed every day. Unfortunately, the hotel is surrounded by construction and the nearest train station is about 20 minutes walk away."
"19, Rue Léon Geoffroy, Les Ardoines Z.I, 94400 Vitry-sur-Seine, France",ibis budget Vitry-sur-Seine A86 Bords de Seine,White lady at the reception was very rude.acted like she didnt want to respond to questions. Cleaner was in a rush to clean the rooms.rooms were dirty.never going back there!
"19, Rue Léon Geoffroy, Les Ardoines Z.I, 94400 Vitry-sur-Seine, France",ibis budget Vitry-sur-Seine A86 Bords de Seine,Nothing at all. It was my worst stay experience in my entire life till date. Awfull location near factories as there construction going around near hotel so no proper bus stop near by. It's gonna be a night mare. Dirty shabby hotel. Awfull breakfast. No option at all. Not even eggs. Poorest in all way. And to make it more worse horrible rude staff. Specially the lady staff in the Reception is very Awfull & rude. I wonder how she secured this Job. Ibis shattered my believe on Ibis.
"19, Rue Léon Geoffroy, Les Ardoines Z.I, 94400 Vitry-sur-Seine, France",ibis budget Vitry-sur-Seine A86 Bords de Seine,"Not bad for a night, but slightly expensive for a room. There were insects inside and small holes in the bathroom… the shower gel was empty.. small details that bother a customer specially when you pay 50-60 euros a night."
"335 Rue de la Belle Étoile Zac Paris Nord 2, 95700 Roissy-en-France, France",ibis budget Roissy-CDG Paris Nord 2,"It’s a good hotel for a short transit. It is very accessible by local bus (and shuttle from Roissypole, but you have to do your own online booking beforehand). The room is good with separated shower and restroom. The breakfast was good"
"335 Rue de la Belle Étoile Zac Paris Nord 2, 95700 Roissy-en-France, France",ibis budget Roissy-CDG Paris Nord 2,"This place is worth it if you only want a place to sleep before going to the airport. There's a shuttle (which you have to pay in advance! We didn't know that) that takes you from and to the airport every 30 mins or so.

We used it because we had an 11hr overnight layover in PAR, and it was kind of ok for that. We do wonder if it would have been better to just use one of the hotels that are within the airport. even if they were more expensive.

Otherwise, the *budget* part is very real. The rooms are tiny (although maybe ok for Paris standards) with an uncomfortable bed, breakfast was terrible (for example, there were no clean plates, people were using napkins and bowls), and the reception was pretty slow with a big line that took almost half an hour to go through before we could check in.

We will probably not stay here again."
"335 Rue de la Belle Étoile Zac Paris Nord 2, 95700 Roissy-en-France, France",ibis budget Roissy-CDG Paris Nord 2,"This hotel was located left to Novotel Suites Paris CDG Airport Villepinte. In the Google map, the location was pinned in some other building. The location was not great for travellers. Room was look like a capsule hotel. If you come solo with your big luggage then room is filled. The bathroom was too small, so when I apply soap always hit the partition. The room partitions are very thin, so you can hear people open and close their room doors. Not really recommended"
"335 Rue de la Belle Étoile Zac Paris Nord 2, 95700 Roissy-en-France, France",ibis budget Roissy-CDG Paris Nord 2,"You get what you pay for, 75€ for the night is fine and the shuttle to and from the airport is right outside. Shops (Aeropolis) has a supermarket 17 minute walk away which also has some takeaway options for lunch/dinner.

Room is basic, good bed but no A/C i was fine but to others this may be a problem. Had what looked like two small blood stains on my bed cover however i just took this off it was warm enough without. Again, you get what you pay for."
"335 Rue de la Belle Étoile Zac Paris Nord 2, 95700 Roissy-en-France, France",ibis budget Roissy-CDG Paris Nord 2,"The hotel location is good. Near to Aeroport. And room size is also decent. They have separate washroom and bathroom. So utilisation of space is greatly done. The only issue we faced is related to AC which was not working, though it was not a big issue given the condition outside which was quite cool and windy."
"9 Av. du Bosquet, 95560 Baillet-en-France, France",BRIT HOTEL Baillet-en-France,a very expensive hotel for the services offered. they do not have internet and employees are lying in front of you that there is nothing wrong with the internet !! without air conditioning . and in this city you can not drink any beer if you want to pay with your bank card. they ask for a minimum consumption of 16 euros to pay with the bank card. so cash is king ... yet
"9 Av. du Bosquet, 95560 Baillet-en-France, France",BRIT HOTEL Baillet-en-France,"Small hotel in a business area, the welcome is good.
The staff is accommodating. I arrived just after the end of the restaurant service, I was still able to eat there. Thank you staff.
2 star hotel, it does the job very well for what it is intended to do."
"9 Av. du Bosquet, 95560 Baillet-en-France, France",BRIT HOTEL Baillet-en-France,"I can't give an opinion we didn't stay there, just visiting but the 1st glimpse is very good good welcome, it's very clean and nice breakfast buffet"
"9 Av. du Bosquet, 95560 Baillet-en-France, France",BRIT HOTEL Baillet-en-France,"Beautiful hotel, attentive staff, clean and delicious breakfast
I highly recommend
THANKS"
"9 Av. du Bosquet, 95560 Baillet-en-France, France",BRIT HOTEL Baillet-en-France,"I went there for a summer camp, and frankly it's a good, fairly quiet hotel, the staff comes to tidy up our room while we're away
Recommendable :)"
